Group_ID,Site,Text,URL
6,overstock,Bath & Skin Care,http://www.overstock.com/Baby/Bath-Skin-Care/268/dept.html
6,walmart,Car Care & Maintenance,http://www.walmart.com/browse/auto-tires/car-care-maintenance/91083_1045959_1074764/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV1_AutoTires_CarCareMaintenance
6,walmart,Baby Bath & Skin Care,http://www.walmart.com/browse/baby/baby-bath-skin-care/5427_1097005/?_refineresult=true&povid=cat121828-env999999-moduleA082112-lLinkGNAV1_Baby_BabyBathSkinCare
6,walmart,Hair Care,http://www.walmart.com/cp/1007219?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_HairCare
6,walmart,Skin Care,http://www.walmart.com/cp/1007039?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_SkinCare
6,walmart,Home Health Care,http://www.walmart.com/cp/home-medical-supplies-equipment/1005860?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_HomeMedical
6,walmart,Oral Care,http://www.walmart.com/cp/Oral-Care/1007221?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_OralCare
6,walmart,Personal Care,http://www.walmart.com/cp/Personal-Care/1005862?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_PersonalCare
6,walmart,Gardening & Lawn Care,http://www.walmart.com/cp/4091?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GardenCenter
7,bjs,"Vacuums, Storage & Laundry",http://www.bjs.com/home/vacuums-storage--laundry.category.730.385.2001372.1
7,wayfair,Bathroom & Laundry Storage,http://www.wayfair.com/Bathroom-and-Laundry-Storage-C215892.html
7,bestbuy,"TV Stands, Mounts & Storage",http://www.bestbuy.com/site/TV-Video/Stands-Mounts-Storage/abcat0106000.c?id=abcat0106000
7,bestbuy,Audio Stands & Storage,http://www.bestbuy.com/site/Audio/Audio-Stands-Storage/pcmcat253300050003.c?id=pcmcat253300050003
7,bjs,"Memory, Storage & Drives",http://www.bjs.com/computers/memory-storage--drives.category.773.743.2000965.1
7,bjs,Wine Cellars & Storage,http://www.bjs.com/home/wine-cellars--storage.category.742.385.2003408.1
7,bjs,Storage & Organization,http://www.bjs.com/seasonal/storage--organization.category.731.28511.2006365.1
7,bjs,Sheds and Storage,http://www.bjs.com/seasonal/sheds-and-storage.category.3000000000000001009.28511.2003739.1
